Trade Date,Underlying,Product Type,Exchange,Volume
2020/06/26,CAT,S,BATS,570
2020/06/26,CAT,S,C2,42
2020/06/26,CAT,S,CBOE,1358
2020/06/26,CAT,S,EDGX,624
2020/06/29,CAT,S,BATS,607
2020/06/29,CAT,S,C2,266
2020/06/29,CAT,S,CBOE,2187
2020/06/29,CAT,S,EDGX,968
2020/06/30,CAT,S,BATS,524
2020/06/30,CAT,S,C2,260
2020/06/30,CAT,S,CBOE,1625
2020/06/30,CAT,S,EDGX,454
2020/07/01,CAT,S,BATS,1058
2020/07/01,CAT,S,C2,178
2020/07/01,CAT,S,CBOE,1538
2020/07/01,CAT,S,EDGX,613
2020/07/02,CAT,S,BATS,2178
2020/07/02,CAT,S,C2,92
2020/07/02,CAT,S,CBOE,2989
2020/07/02,CAT,S,EDGX,757
2020/07/06,CAT,S,BATS,1340
2020/07/06,CAT,S,C2,257
2020/07/06,CAT,S,CBOE,2688
2020/07/06,CAT,S,EDGX,895
2020/07/07,CAT,S,BATS,1122
2020/07/07,CAT,S,C2,162
2020/07/07,CAT,S,CBOE,1688
2020/07/07,CAT,S,EDGX,859
2020/07/08,CAT,S,BATS,1199
2020/07/08,CAT,S,C2,61
2020/07/08,CAT,S,CBOE,2102
2020/07/08,CAT,S,EDGX,1213
2020/07/09,CAT,S,BATS,1169
2020/07/09,CAT,S,C2,199
2020/07/09,CAT,S,CBOE,1709
2020/07/09,CAT,S,EDGX,510
2020/07/10,CAT,S,BATS,1376
2020/07/10,CAT,S,C2,359
2020/07/10,CAT,S,CBOE,1963
2020/07/10,CAT,S,EDGX,877
2020/07/13,CAT,S,BATS,2469
2020/07/13,CAT,S,C2,802
2020/07/13,CAT,S,CBOE,4225
2020/07/13,CAT,S,EDGX,1434
2020/07/14,CAT,S,BATS,3348
2020/07/14,CAT,S,C2,621
2020/07/14,CAT,S,CBOE,6554
2020/07/14,CAT,S,EDGX,1592
2020/07/15,CAT,S,BATS,2699
2020/07/15,CAT,S,C2,924
2020/07/15,CAT,S,CBOE,6405
2020/07/15,CAT,S,EDGX,1559
2020/07/16,CAT,S,BATS,2433
2020/07/16,CAT,S,C2,235
2020/07/16,CAT,S,CBOE,7079
2020/07/16,CAT,S,EDGX,2601
2020/07/17,CAT,S,BATS,1532
2020/07/17,CAT,S,C2,101
2020/07/17,CAT,S,CBOE,2439
2020/07/17,CAT,S,EDGX,485
2020/07/20,CAT,S,BATS,774
2020/07/20,CAT,S,C2,52
2020/07/20,CAT,S,CBOE,2720
2020/07/20,CAT,S,EDGX,414
2020/07/21,CAT,S,BATS,783
2020/07/21,CAT,S,C2,145
2020/07/21,CAT,S,CBOE,3139
2020/07/21,CAT,S,EDGX,918
2020/07/22,CAT,S,BATS,804
2020/07/22,CAT,S,C2,337
2020/07/22,CAT,S,CBOE,2764
2020/07/22,CAT,S,EDGX,588
2020/07/23,CAT,S,BATS,757
2020/07/23,CAT,S,C2,48
2020/07/23,CAT,S,CBOE,2416
2020/07/23,CAT,S,EDGX,445
2020/07/24,CAT,S,BATS,1725
2020/07/24,CAT,S,C2,65
2020/07/24,CAT,S,CBOE,4765
2020/07/24,CAT,S,EDGX,962
2020/07/27,CAT,S,BATS,1306
2020/07/27,CAT,S,C2,225
2020/07/27,CAT,S,CBOE,3964
2020/07/27,CAT,S,EDGX,600
2020/07/28,CAT,S,BATS,690
2020/07/28,CAT,S,C2,181
2020/07/28,CAT,S,CBOE,2404
2020/07/28,CAT,S,EDGX,319
2020/07/29,CAT,S,BATS,642
2020/07/29,CAT,S,C2,262
2020/07/29,CAT,S,CBOE,1581
2020/07/29,CAT,S,EDGX,896
2020/07/30,CAT,S,BATS,1958
2020/07/30,CAT,S,C2,1173
2020/07/30,CAT,S,CBOE,6420
2020/07/30,CAT,S,EDGX,2070
2020/07/31,CAT,S,BATS,3604
2020/07/31,CAT,S,C2,663
2020/07/31,CAT,S,CBOE,8718
2020/07/31,CAT,S,EDGX,2988
2020/08/03,CAT,S,BATS,1091
2020/08/03,CAT,S,C2,246
2020/08/03,CAT,S,CBOE,2343
2020/08/03,CAT,S,EDGX,564
2020/08/04,CAT,S,BATS,1102
2020/08/04,CAT,S,C2,260
2020/08/04,CAT,S,CBOE,1860
2020/08/04,CAT,S,EDGX,893
2020/08/05,CAT,S,BATS,3199
2020/08/05,CAT,S,C2,1150
2020/08/05,CAT,S,CBOE,5829
2020/08/05,CAT,S,EDGX,961
2020/08/06,CAT,S,BATS,889
2020/08/06,CAT,S,C2,266
2020/08/06,CAT,S,CBOE,1817
2020/08/06,CAT,S,EDGX,910
2020/08/07,CAT,S,BATS,1361
2020/08/07,CAT,S,C2,299
2020/08/07,CAT,S,CBOE,2824
2020/08/07,CAT,S,EDGX,489
2020/08/10,CAT,S,BATS,4312
2020/08/10,CAT,S,C2,1740
2020/08/10,CAT,S,CBOE,14353
2020/08/10,CAT,S,EDGX,3590
2020/08/11,CAT,S,BATS,3156
2020/08/11,CAT,S,C2,1313
2020/08/11,CAT,S,CBOE,9169
2020/08/11,CAT,S,EDGX,2820
2020/08/12,CAT,S,BATS,1307
2020/08/12,CAT,S,C2,428
2020/08/12,CAT,S,CBOE,2385
2020/08/12,CAT,S,EDGX,1296
2020/08/13,CAT,S,BATS,3002
2020/08/13,CAT,S,C2,1286
2020/08/13,CAT,S,CBOE,8860
2020/08/13,CAT,S,EDGX,2174
2020/08/14,CAT,S,BATS,1582
2020/08/14,CAT,S,C2,300
2020/08/14,CAT,S,CBOE,2397
2020/08/14,CAT,S,EDGX,769
2020/08/17,CAT,S,BATS,776
2020/08/17,CAT,S,C2,244
2020/08/17,CAT,S,CBOE,2317
2020/08/17,CAT,S,EDGX,659
2020/08/18,CAT,S,BATS,1110
2020/08/18,CAT,S,C2,203
2020/08/18,CAT,S,CBOE,2636
2020/08/18,CAT,S,EDGX,786
2020/08/19,CAT,S,BATS,1023
2020/08/19,CAT,S,C2,113
2020/08/19,CAT,S,CBOE,1556
2020/08/19,CAT,S,EDGX,529
2020/08/20,CAT,S,BATS,1367
2020/08/20,CAT,S,C2,376
2020/08/20,CAT,S,CBOE,2144
2020/08/20,CAT,S,EDGX,1643
2020/08/21,CAT,S,BATS,1020
2020/08/21,CAT,S,C2,469
2020/08/21,CAT,S,CBOE,8731
2020/08/21,CAT,S,EDGX,1152
2020/08/24,CAT,S,BATS,2564
2020/08/24,CAT,S,C2,576
2020/08/24,CAT,S,CBOE,3849
2020/08/24,CAT,S,EDGX,1344
2020/08/25,CAT,S,BATS,1926
2020/08/25,CAT,S,C2,428
2020/08/25,CAT,S,CBOE,3104
2020/08/25,CAT,S,EDGX,1008
2020/08/26,CAT,S,BATS,1688
2020/08/26,CAT,S,C2,278
2020/08/26,CAT,S,CBOE,1751
2020/08/26,CAT,S,EDGX,663
2020/08/27,CAT,S,BATS,1560
2020/08/27,CAT,S,C2,309
2020/08/27,CAT,S,CBOE,2338
2020/08/27,CAT,S,EDGX,575
2020/08/28,CAT,S,BATS,1358
2020/08/28,CAT,S,C2,452
2020/08/28,CAT,S,CBOE,3846
2020/08/28,CAT,S,EDGX,1257
2020/08/31,CAT,S,BATS,750
2020/08/31,CAT,S,C2,177
2020/08/31,CAT,S,CBOE,2034
2020/08/31,CAT,S,EDGX,617
2020/09/01,CAT,S,BATS,1019
2020/09/01,CAT,S,C2,131
2020/09/01,CAT,S,CBOE,1926
2020/09/01,CAT,S,EDGX,474
2020/09/02,CAT,S,BATS,2848
2020/09/02,CAT,S,C2,647
2020/09/02,CAT,S,CBOE,5650
2020/09/02,CAT,S,EDGX,1439
2020/09/03,CAT,S,BATS,2503
2020/09/03,CAT,S,C2,312
2020/09/03,CAT,S,CBOE,2539
2020/09/03,CAT,S,EDGX,1008
2020/09/04,CAT,S,BATS,2967
2020/09/04,CAT,S,C2,759
2020/09/04,CAT,S,CBOE,3626
2020/09/04,CAT,S,EDGX,1129
2020/09/08,CAT,S,BATS,1561
2020/09/08,CAT,S,C2,108
